PIP,DIP
-20.82439027,-6.597893133
-20.82439027,-6.597893133
-20.82439027,-6.597893133
-20.81058901,-8.113589546
-21.96506328,-8.722525993
-23.16132575,-9.104697756
-23.16132575,-9.104697756
-24.30298092,-9.638113382
-25.60036157,-9.938190314
-25.60036157,-9.938190314
-26.7896927,-10.38274578
-27.96087002,-10.54143483
-28.84210145,-11.06708473
-28.84210145,-11.06708473
-30.02758798,-11.44920276
-31.19320207,-11.41893938
-31.19320207,-11.41893938
-31.19320207,-11.41893938
-31.97930503,-11.83798794
-32.72024514,-12.10733753
-32.72024514,-12.10733753
-33.55723073,-12.37884158
-33.55723073,-12.37884158
-34.02545854,-12.81049256
-34.77270398,-12.84527118
-34.77270398,-12.84527118
-34.89185176,-13.44294837
-35.40611103,-13.65405994
-35.6675267,-13.81267244
-35.6675267,-13.81267244
-35.89117759,-13.88125408
-36.14748877,-13.81102541
-36.14748877,-13.81102541
-36.17555331,-14.00246201
-36.03535699,-14.11001149
-36.03535699,-14.11001149
-36.8212609,-13.43688553
-36.8212609,-13.43688553
-36.8212609,-13.43688553
-36.82168387,-13.40659544
-36.81743956,-13.33303957
-36.71245589,-13.27119542
-36.71245589,-13.27119542
-36.71702593,-13.22722213
-36.62040089,-13.38272796
-36.65918037,-13.17570455
-36.65918037,-13.17570455
-36.47632552,-13.24093541
-36.47094872,-13.05880331
-36.12286681,-13.17070036
-36.12286681,-13.17070036
-36.24389091,-12.82150108
-36.24389091,-12.82150108
-36.24389091,-12.82150108
-36.08543285,-12.74102667
-35.72589291,-12.71991473
-35.72589291,-12.71991473
-35.49300616,-12.5595115
-35.49300616,-12.5595115
-35.24372167,-12.39604182
-34.94911074,-12.1574185
-34.56848664,-12.08785432
-34.56848664,-12.08785432
-34.56848664,-12.08785432
-34.39925349,-11.71773369
-34.07652193,-11.44228135
-33.44151192,-11.35616778
-33.44151192,-11.35616778
-32.96848146,-11.13420417
-32.39315694,-10.88344702
-32.39315694,-10.88344702
-32.39315694,-10.88344702
-31.78640428,-10.69914037
-31.14129497,-10.21881346
-31.14129497,-10.21881346
-29.66596093,-10.50923586
-28.83824512,-10.14468474
-28.83824512,-10.14468474
-28.83824512,-10.14468474
-27.88135661,-9.809162529
-26.86359887,-9.58093419
-26.27440922,-8.693157816
-26.27440922,-8.693157816
-25.15004465,-8.136394854
-24.08324927,-7.965461567
-24.08324927,-7.965461567
-22.9283771,-7.576151209
-22.9283771,-7.576151209
-22.9283771,-7.576151209
-21.93486566,-7.379516532
-21.93486566,-7.379516532
-21.02334882,-6.879125563
-19.86054218,-6.882848941
-19.17555139,-6.410518526
-19.17555139,-6.410518526
-18.16748518,-6.212696797
-17.28952759,-6.016157297
-17.28952759,-6.016157297
-16.49259585,-5.593394598
-15.27440373,-5.296073234
-14.48069222,-4.898969405
-14.48069222,-4.898969405
-13.38406757,-4.89528627
-12.28640245,-4.636506515
-12.28640245,-4.636506515
-11.21755289,-4.309308718
-11.21755289,-4.309308718
-10.37948476,-4.052538334
-10.54972113,-2.748893242
-10.54972113,-2.748893242
-8.860680863,-3.630294152
-8.860680863,-3.630294152
-9.361882417,-2.335635911
-9.361882417,-2.335635911
-9.361882417,-2.335635911
-8.271431551,-3.15905337
-8.79716283,-2.203496201
-8.79716283,-2.203496201
-7.356512922,-2.997617374
-7.758601306,-2.10730778
-7.758601306,-2.10730778
-6.995927938,-2.708147292
-6.995927938,-2.708147292
-7.669809112,-2.042152928
-6.793098528,-2.692701365
-6.793098528,-2.692701365
-6.793098528,-2.692701365
-7.581024427,-1.83599811
-7.581024427,-1.83599811
-7.581024427,-1.83599811
-6.797115288,-2.57044281
-7.480694263,-1.728489616
-7.480694263,-1.728489616
-6.424330327,-2.757181506
-6.424330327,-2.757181506
-7.327033042,-1.866461287
-7.327033042,-1.866461287
-6.393252296,-2.694489623
-7.283625871,-1.747081343
-6.357722627,-2.706662701
-6.357722627,-2.706662701
-6.577115137,-2.592480101
-6.58972728,-2.707108583
-6.796326841,-2.600820694
-6.796326841,-2.600820694
-6.796326841,-2.600820694
-6.712531894,-2.798281019
-6.987043821,-2.787343901
-6.987043821,-2.787343901
-6.810222213,-2.973707157
-7.168255015,-2.829375245
-7.174987737,-3.200135864
-7.174987737,-3.200135864
-7.174987737,-3.200135864
-7.55140449,-2.975879163
-7.691916748,-3.087369816
-8.001491765,-3.20365294
-8.001491765,-3.20365294
