PIP,DIP
0.769829774,0.378424522
0.769829774,0.378424522
0.87837839,0.294090187
0.795797268,0.404481637
0.795797268,0.404481637
0.795797268,0.404481637
0.826221995,0.384615276
0.826221995,0.384615276
0.834548166,0.389946398
0.835488005,0.410148263
0.835488005,0.410148263
0.835488005,0.410148263
0.853673497,0.408360476
0.851940134,0.425177174
0.851940134,0.425177174
0.870510094,0.437431414
0.870510094,0.437431414
0.870510094,0.437431414
0.895007452,0.450987232
0.895007452,0.450987232
0.895007452,0.450987232
0.936345701,0.440210779
0.956138336,0.458733223
0.956138336,0.458733223
0.973185311,0.485347837
0.988381037,0.484858613
0.988381037,0.484858613
1.099283124,0.384153557
1.140807128,0.387183049
1.140807128,0.387183049
1.158922615,0.405032374
1.158922615,0.405032374
1.158922615,0.405032374
1.159739614,0.417219797
1.159739614,0.417219797
1.197790895,0.403213477
1.216526126,0.413223533
1.216526126,0.413223533
1.22998573,0.423151327
1.237262469,0.445172509
1.237262469,0.445172509
1.254994398,0.447425802
1.255923541,0.448337391
1.255923541,0.448337391
1.255923541,0.448337391
1.255923541,0.448337391
1.267526283,0.461459068
1.184354313,0.584371716
1.189750806,0.598824049
1.189750806,0.598824049
1.191806724,0.601314168
1.191806724,0.601314168
1.191806724,0.601314168
1.206062542,0.60699591
1.202261119,0.602099395
1.186563296,0.603827122
1.186563296,0.603827122
1.209262023,0.605115035
1.216638631,0.59241497
1.216638631,0.59241497
1.216638631,0.59241497
1.191128819,0.617910244
1.191128819,0.617910244
1.191183063,0.626336958
1.191183063,0.626336958
1.211468877,0.614776286
1.211468877,0.614776286
1.211468877,0.614776286
1.192839006,0.630186646
1.191094786,0.634843233
1.191094786,0.634843233
1.191094786,0.634843233
1.191094786,0.634843233
1.209339466,0.627318409
1.209339466,0.627318409
1.224581227,0.605445521
1.224581227,0.605445521
1.19788652,0.619491217
1.21585649,0.628986955
1.21585649,0.628986955
1.214591594,0.62874947
1.214591594,0.62874947
1.199432035,0.640921804
1.207532969,0.626423051
