Time;DP_data1x;DP_data1z;DP_data2x;DP_data2z;MP_data1x;MP_data1z;MP_data2x;MP_data2z;PP_data1x;PP_data1z;PP_data2x;PP_data2z
44,661555;0,055071;0,149232849;0,05576944;0,17309624;0,084522568;0,193127915;0,116655134;0,204975843;0,117854998;0,154050961;0,121124789;0,1082123
44,670555;0,055071;0,149232849;0,05576944;0,17309624;0,084522568;0,193127915;0,116655134;0,204975843;0,117854998;0,154050961;0,121124789;0,1082123
44,679556;0,052277;0,151103511;0,054565344;0,174888924;0,084248275;0,194119245;0,116702497;0,205058977;0,117847763;0,154101074;0,121125005;0,108233064
44,688556;0,052277;0,151103511;0,054565344;0,174888924;0,084248275;0,194119245;0,116702497;0,205058977;0,117847763;0,154101074;0,121125005;0,108233064
44,697556;0,050070;0,152922288;0,053633541;0,176563576;0,084118061;0,195053622;0,116870299;0,205121621;0,117894292;0,154113099;0,121130325;0,108267233
44,706557;0,050070;0,152922288;0,053633541;0,176563576;0,084118061;0,195053622;0,116870299;0,205121621;0,117894292;0,154113099;0,121130325;0,108267233
44,715557;0,047415;0,155097097;0,052562423;0,178428292;0,083955973;0,196040705;0,116994798;0,205158129;0,117914587;0,154111162;0,12113066;0,108264089
44,724558;0,047415;0,155097097;0,052562423;0,178428292;0,083955973;0,196040705;0,116994798;0,205158129;0,117914587;0,154111162;0,12113066;0,108264089
44,733559;0,046061;0,156449527;0,052011766;0,179556012;0,083909594;0,196648985;0,117068082;0,205192506;0,117945611;0,154142499;0,121133469;0,108273178
44,742559;0,046061;0,156449527;0,052011766;0,179556012;0,083909594;0,196648985;0,117068082;0,205192506;0,117945611;0,154142499;0,121133469;0,108273178
44,751560;0,044695;0,157833397;0,051537689;0,180717513;0,08387889;0,197206318;0,117150895;0,205228195;0,117991358;0,154145122;0,121138848;0,108274087
44,760560;0,044695;0,157833397;0,051537689;0,180717513;0,08387889;0,197206318;0,117150895;0,205228195;0,117991358;0,154145122;0,121138848;0,108274087
44,769561;0,040406;0,162530631;0,049869381;0,184432626;0,083718225;0,199101627;0,117403068;0,205360398;0,118023977;0,154165059;0,121142797;0,108293489
44,778561;0,040406;0,162530631;0,049869381;0,184432626;0,083718225;0,199101627;0,117403068;0,205360398;0,118023977;0,154165059;0,121142797;0,108293489
44,787561;0,037621;0,16589798;0,048844051;0,186970055;0,083604239;0,200345412;0,11747501;0,20544751;0,118025079;0,154167011;0,12114802;0,108293109
44,796562;0,037621;0,16589798;0,048844051;0,186970055;0,083604239;0,200345412;0,11747501;0,20544751;0,118025079;0,154167011;0,12114802;0,108293109
44,805563;0,035043;0,169483542;0,047851212;0,189602777;0,083516285;0,201609612;0,117533527;0,205535516;0,118009962;0,154172048;0,12114881;0,108299717
44,814563;0,032879;0,172846839;0,047091458;0,192048073;0,083469041;0,202764839;0,117583729;0,205588683;0,118004575;0,154177159;0,121154927;0,108304337
44,823564;0,032879;0,172846839;0,047091458;0,192048073;0,083469041;0,202764839;0,117583729;0,205588683;0,118004575;0,154177159;0,121154927;0,108304337
44,832564;0,031139;0,17590709;0,046526462;0,194124654;0,083510756;0,203744292;0,117717758;0,205667168;0,11803557;0,154176444;0,121160701;0,108307257
44,841565;0,031139;0,17590709;0,046526462;0,194124654;0,083510756;0,203744292;0,117717758;0,205667168;0,11803557;0,154176444;0,121160701;0,108307257
44,850565;0,029913;0,178514108;0,046149965;0,195935667;0,083613582;0,204570338;0,117841326;0,205703288;0,1180747;0,154196039;0,121170022;0,108315609
44,859566;0,029913;0,178514108;0,046149965;0,195935667;0,083613582;0,204570338;0,117841326;0,205703288;0,1180747;0,154196039;0,121170022;0,108315609
44,868566;0,028648;0,181337252;0,045829624;0,197853178;0,083747521;0,205450773;0,117972009;0,205783114;0,118124664;0,154203445;0,12117175;0,10833589
44,877567;0,028648;0,181337252;0,045829624;0,197853178;0,083747521;0,205450773;0,117972009;0,205783114;0,118124664;0,154203445;0,12117175;0,10833589
44,886567;0,028059;0,18266955;0,045707662;0,198738098;0,08380463;0,205838516;0,118022904;0,205821767;0,118145011;0,15419893;0,121177852;0,108314604
44,895568;0,028059;0,18266955;0,045707662;0,198738098;0,08380463;0,205838516;0,118022904;0,205821767;0,118145011;0,15419893;0,121177852;0,108314604
44,904568;0,027671;0,183984905;0,045647491;0,199638546;0,083937958;0,206225872;0,118152246;0,205843478;0,118181944;0,154201418;0,121176369;0,108311534
44,913569;0,027671;0,183984905;0,045647491;0,199638546;0,083937958;0,206225872;0,118152246;0,205843478;0,118181944;0,154201418;0,121176369;0,108311534
44,922570;0,027255;0,185271531;0,045573074;0,200576037;0,08402586;0,206632182;0,118223347;0,205861509;0,118202388;0,154205278;0,121172555;0,108312301
44,931570;0,027255;0,185271531;0,045573074;0,200576037;0,08402586;0,206632182;0,118223347;0,205861509;0,118202388;0,154205278;0,121172555;0,108312301
44,940570;0,026711;0,186665848;0,045403562;0,201459408;0,084037185;0,207057178;0,118236884;0,205903471;0,118184283;0,154200763;0,121159233;0,108323351
44,949571;0,026711;0,186665848;0,045403562;0,201459408;0,084037185;0,207057178;0,118236884;0,205903471;0,118184283;0,154200763;0,121159233;0,108323351
44,958571;0,026348;0,187932014;0,045358758;0,202292576;0,084122457;0,207387939;0,118307874;0,205899507;0,118209898;0,154199451;0,121168278;0,108306013
44,967572;0,026348;0,187932014;0,045358758;0,202292576;0,084122457;0,207387939;0,118307874;0,205899507;0,118209898;0,154199451;0,121168278;0,108306013
44,976573;0,025843;0,189784095;0,045300964;0,203557625;0,084289975;0,207978085;0,118443906;0,206025437;0,118257903;0,154206946;0,121171013;0,10831207
44,985573;0,025843;0,189784095;0,045300964;0,203557625;0,084289975;0,207978085;0,118443906;0,206025437;0,118257903;0,154206946;0,121171013;0,10831207
44,994574;0,025647;0,19117175;0,045403443;0,204469085;0,084513128;0,208433717;0,118663512;0,206096739;0,118346177;0,154188618;0,121178038;0,108315945
45,003574;0,025647;0,19117175;0,045403443;0,204469085;0,084513128;0,208433717;0,118663512;0,206096739;0,118346177;0,154188618;0,121178038;0,108315945
45,012574;0,025566;0,191993982;0,045487717;0,205064625;0,084670641;0,208643764;0,1188026;0,206092373;0,118428633;0,154216349;0,121176593;0,108339719
45,021575;0,025566;0,191993982;0,045487717;0,205064625;0,084670641;0,208643764;0,1188026;0,206092373;0,118428633;0,154216349;0,121176593;0,108339719
45,030576;0,025449;0,193875477;0,045774374;0,206336156;0,08510229;0,209225744;0,119182579;0,206103206;0,118596129;0,154273257;0,121202417;0,108373001
45,039576;0,025297;0,19616206;0,04606944;0,207904041;0,086073719;0,210672528;0,120014362;0,206284672;0,118956879;0,15431492;0,121253595;0,108415008
45,048577;0,025176;0,20176886;0,046849191;0,211594999;0,086688958;0,211531103;0,120473877;0,206339538;0,119154975;0,154375985;0,121273428;0,108447
45,057577;0,025176;0,20176886;0,046849191;0,211594999;0,086688958;0,211531103;0,120473877;0,206339538;0,119154975;0,154375985;0,121273428;0,108447
45,066578;0,025278;0,204753071;0,047399048;0,213580221;0,087344095;0,212377787;0,121006101;0,206396013;0,119412944;0,154425696;0,121293604;0,108464397
45,075578;0,025278;0,204753071;0,047399048;0,213580221;0,087344095;0,212377787;0,121006101;0,206396013;0,119412944;0,154425696;0,121293604;0,108464397
45,084579;0,025352;0,206258759;0,0476177;0,214587271;0,087622494;0,212829277;0,121241435;0,206385419;0,119494379;0,154419258;0,121299192;0,108477704
